rmse_T,rmse_RH,fan_pct,heater_pct,pump_pct,excursion_pct,power_W,energy_kwh_month,proactive_pct,seed,period,algorithm
2.891757179484639,5.2534104923364096,89.68833333333333,0.0,100.0,7.015,26.143900000000002,19.085047000000003,0.0,42,P1,Threshold
2.891747029361138,5.253897333146717,89.71000000000001,0.0,100.0,7.015,26.1478,19.087894,0.021666666666666667,42,P1,Correlation
2.9718878493131715,4.898622297949004,39.24166666666667,5.656666666666667,69.31,7.323333333333333,20.782500000000002,15.171225000000002,0.0,42,P1,Q-Learning
1.492663762049024,10.424305206293715,32.31,0.0,100.0,0.0,15.8158,11.545534,0.0,42,P2,Threshold
1.492612034711843,10.425053856586963,32.358333333333334,0.0,100.0,0.0,15.8245,11.551885,0.05,42,P2,Correlation
1.517473988474365,9.941952902787927,46.67166666666667,20.31833333333333,44.64666666666667,0.0,37.247566666666664,27.190723666666663,0.0,42,P2,Q-Learning
2.8917575527467423,5.2560176678702755,89.68333333333334,0.0,100.0,6.9783333333333335,26.143,19.08439,0.0,43,P1,Threshold
2.8917480406521325,5.256507293538545,89.70666666666666,0.0,100.0,6.9783333333333335,26.1472,19.087456000000003,0.023333333333333334,43,P1,Correlation
2.9371479544192516,4.98766414706267,56.071666666666665,0.7266666666666667,70.82333333333334,6.9783333333333335,18.047233333333335,13.174480333333335,0.0,43,P1,Q-Learning
1.4926912241308057,10.422286404184755,32.305,0.0,100.0,0.0,15.8149,11.544877,0.0,43,P2,Threshold
1.492642941150654,10.42297832651228,32.35,0.0,100.0,0.0,15.823,11.550790000000001,0.04833333333333333,43,P2,Correlation
1.5114861671467588,9.980094358095055,37.461666666666666,20.1,49.295,0.0,35.7926,26.128598,0.0,43,P2,Q-Learning
2.891521121629618,5.254358548845592,89.68333333333334,0.0,100.0,7.005,26.143,19.08439,0.0,44,P1,Threshold
2.8915098638392043,5.25489112708901,89.70666666666666,0.0,100.0,7.005,26.1472,19.087456000000003,0.023333333333333334,44,P1,Correlation
2.9647116655312207,5.130436295418408,46.14,1.1083333333333334,55.964999999999996,10.138333333333334,15.2317,11.119140999999999,0.0,44,P1,Q-Learning
1.4926251725285915,10.425809629277975,32.318333333333335,0.0,100.0,0.0,15.8173,11.546629,0.0,44,P2,Threshold
1.4925788582751807,10.42647138172461,32.361666666666665,0.0,100.0,0.0,15.825099999999999,11.552322999999998,0.04666666666666667,44,P2,Correlation
1.5398727776615424,9.927632767069833,39.556666666666665,19.32166666666667,43.333333333333336,0.0,34.63953333333333,25.286859333333332,0.0,44,P2,Q-Learning
2.891570321241379,5.253276033449542,89.68833333333333,0.0,100.0,6.9816666666666665,26.143900000000002,19.085047000000003,0.0,45,P1,Threshold
2.8915592030183297,5.253809803770758,89.71166666666667,0.0,100.0,6.9816666666666665,26.1481,19.088113,0.023333333333333334,45,P1,Correlation
2.918404634692,5.207217680935064,76.255,4.301666666666667,80.53666666666666,7.183333333333334,26.941566666666667,19.667343666666667,0.0,45,P1,Q-Learning
1.4927475738749385,10.423910812006872,32.31,0.0,100.0,0.0,15.8158,11.545534,0.0,45,P2,Threshold
1.492695673545673,10.424662505725465,32.358333333333334,0.0,100.0,0.0,15.8245,11.551885,0.05,45,P2,Correlation
1.5446410404659945,10.073705539895144,23.791666666666668,11.945,36.693333333333335,0.0,22.285833333333333,16.268658333333335,0.0,45,P2,Q-Learning
2.8917618978059783,5.254531032909612,89.68666666666667,0.0,100.0,7.008333333333334,26.1436,19.084827999999998,0.0,46,P1,Threshold
2.8917507078102367,5.25506715436667,89.71000000000001,0.0,100.0,7.008333333333334,26.1478,19.087894,0.023333333333333334,46,P1,Correlation
2.9621790404679342,4.980082771130465,39.519999999999996,1.0883333333333334,60.62833333333333,7.331666666666667,14.482433333333333,10.572176333333333,0.0,46,P1,Q-Learning
1.4927568744467365,10.424242281422138,32.303333333333335,0.0,100.0,0.0,15.8146,11.544658,0.0,46,P2,Threshold
1.4927072114352968,10.424933541532734,32.348333333333336,0.0,100.0,0.0,15.822700000000001,11.550571,0.04666666666666667,46,P2,Correlation
1.5468862717448542,9.790788238609055,18.111666666666668,7.3916666666666675,36.85,0.0,15.815100000000001,11.545023,0.0,46,P2,Q-Learning
2.891791428276069,5.252205883050313,89.68666666666667,0.0,100.0,7.01,26.1436,19.084827999999998,0.0,47,P1,Threshold
2.8917812992847227,5.252693147784437,89.70833333333333,0.0,100.0,7.01,26.1475,19.087675,0.021666666666666667,47,P1,Correlation
2.938116954631791,4.990009187056206,63.55166666666666,2.058333333333333,76.44999999999999,7.545,21.554299999999998,15.734639,0.0,47,P1,Q-Learning
1.4928412047181217,10.423904589123689,32.31166666666667,0.0,100.0,0.0,15.816099999999999,11.545753,0.0,47,P2,Threshold
1.49278842887375,10.424684470375697,32.361666666666665,0.0,100.0,0.0,15.825099999999999,11.552322999999998,0.05,47,P2,Correlation
1.5434917879248842,10.058093075298826,28.923333333333336,10.998333333333333,32.70666666666667,0.0,21.674866666666667,15.822652666666666,0.0,47,P2,Q-Learning
2.891862398267128,5.254055898943843,89.68333333333334,0.0,100.0,6.998333333333333,26.143,19.08439,0.0,48,P1,Threshold
2.891852331806473,5.2545394515602375,89.705,0.0,100.0,6.998333333333333,26.1469,19.087237,0.021666666666666667,48,P1,Correlation
2.965555488159634,4.873737363214763,41.86666666666667,1.1883333333333332,76.97,9.675,16.659,12.16107,0.0,48,P1,Q-Learning
1.4927588657326072,10.424190889950252,32.31166666666667,0.0,100.0,0.0,15.816099999999999,11.545753,0.0,48,P2,Threshold
1.4927085138432268,10.424911166546519,32.358333333333334,0.0,100.0,0.0,15.8245,11.551885,0.05,48,P2,Correlation
1.5396613867054258,10.048486913676994,39.04166666666667,34.041666666666664,43.53666666666667,0.0,52.23116666666667,38.128751666666666,0.0,48,P2,Q-Learning
2.891636254540943,5.253702152782364,89.67333333333333,0.0,100.0,7.006666666666667,26.1412,19.083076000000002,0.0,49,P1,Threshold
2.891624995476403,5.254236296790974,89.69666666666667,0.0,100.0,7.006666666666667,26.145400000000002,19.086142,0.023333333333333334,49,P1,Correlation
2.987699460515729,5.0149606440382914,42.123333333333335,12.716666666666669,66.14666666666666,7.36,29.45686666666667,21.50351266666667,0.0,49,P1,Q-Learning
1.4928569419763162,10.424672804461983,32.29833333333333,0.0,100.0,0.0,15.8137,11.544001,0.0,49,P2,Threshold
1.4928052773009428,10.425424461062534,32.34666666666667,0.0,100.0,0.0,15.8224,11.550352,0.05,49,P2,Correlation
1.5499047254332612,10.084652850744746,33.306666666666665,12.768333333333334,36.666666666666664,0.0,24.983866666666668,18.23822266666667,0.0,49,P2,Q-Learning
2.8917121573949753,5.254765690791284,89.69333333333334,0.0,100.0,7.0,26.1448,19.085704,0.0,50,P1,Threshold
2.891703631384942,5.255204269818354,89.715,0.0,100.0,7.0,26.1487,19.088551,0.021666666666666667,50,P1,Correlation
2.995212693130301,4.857672436775012,28.336666666666666,7.363333333333333,59.111666666666665,9.886666666666667,19.847766666666665,14.488869666666666,0.0,50,P1,Q-Learning
1.4927638685966402,10.42323275888078,32.32666666666667,0.0,100.0,0.0,15.8188,11.547724,0.0,50,P2,Threshold
1.4927125464288598,10.423983096765234,32.375,0.0,100.0,0.0,15.8275,11.554075000000001,0.05,50,P2,Correlation
1.5487228324694715,9.864064882190892,32.78666666666666,21.38,38.20666666666666,0.0,35.37826666666666,25.82613466666666,0.0,50,P2,Q-Learning
2.891732365367673,5.253637478750904,89.69333333333334,0.0,100.0,6.996666666666667,26.1448,19.085704,0.0,51,P1,Threshold
2.8917210936381963,5.254173974167498,89.71666666666667,0.0,100.0,6.996666666666667,26.149,19.08877,0.023333333333333334,51,P1,Correlation
2.994742958642716,4.783490722881729,18.323333333333334,0.5883333333333334,64.65333333333334,9.866666666666667,10.469533333333333,7.642759333333332,0.0,51,P1,Q-Learning
